SOC, OCCUPATION_DESCRIPTION
111,"Corporate Managers And Senior Officials"
112,"Production Managers"
113,"Functional Managers"
114,"Quality And Customer Care Managers"
115,"Financial Institution And Office Managers"
116,"Managers In Distribution, Storage And Retailing"
117,"Protective Service Officers"
118,"Health And Social Services Managers"
121,"Managers In Farming, Horticulture, Forestry And Fishing"
122,"Managers And Proprietors In Hospitality And Leisure Services"
123,"Managers And Proprietors In Other Service Industries"
211,"Science Professionals"
212,"Engineering Professionals"
213,"Information And Communication Technology Professionals"
221,"Health Professionals"
231,"Teaching Professionals"
232,"Research Professionals"
241,"Legal Professionals"
242,"Business And Statistical Professionals"
243,"Architects, Town Planners, Surveyors"
244,"Public Service Professionals"
245,"Librarians And Related Professionals"
311,"Science And Engineering Technicians"
312,"Draughtspersons And Building Inspectors"
313,"IT Service Delivery Occupations"
321,"Health Associate Professionals"
322,"Therapists"
323,"Social Welfare Associate Professionals"
331,"Protective Service Occupations"
341,"Artistic And Literary Occupations"
342,"Design Associate Professionals"
343,"Media Associate Professionals"
344,"Sports And Fitness Occupations"
351,"Transport Associate Professionals"
352,"Legal Associate Professionals"
353,"Business And Finance Associate Professionals"
354,"Sales And Related Associate Professionals"
355,"Conservation Associate Professionals"
356,"Public Service And Other Associate Professionals"
411,"Administrative Occupations: Government And Related Organisations"
412,"Administrative Occupations: Finance"
413,"Administrative Occupations: Records"
414,"Administrative Occupations: Communications"
415,"Administrative Occupations: General"
421,"Secretarial And Related Occupations"
511,"Agricultural Trades"
521,"Metal Forming, Welding And Related Trades"
522,"Metal Machining, Fitting And Instrument Making Trades"
523,"Vehicle Trades"
524,"Electrical Trades"
531,"Construction Trades"
532,"Building Trades"
541,"Textiles And Garments Trades"
542,"Printing Trades"
543,"Food Preparation Trades"
549,"Skilled Trades n. e. c."
611,"Healthcare And Related Personal Services"
612,"Childcare And Related Personal Services"
613,"Animal Care Services"
621,"Leisure And Travel Service Occupations"
622,"Hairdressers And Related Occupations"
623,"Housekeeping Occupations"
629,"Personal Services Occupations n. e. c."
711,"Sales Assistants And Retail Cashiers"
712,"Sales Related Occupations"
721,"Customer Service Occupations"
811,"Process Operatives"
812,"Plant And Machine Operatives"
813,"Assemblers And Routine Operatives"
814,"Construction Operatives"
821,"Transport Drivers And Operatives"
822,"Mobile Machine Drivers And Operatives"
911,"Elementary Agricultural Occupations"
912,"Elementary Construction Occupations"
913,"Elementary Process Plant Occupations"
914,"Elementary Goods Storage Occupations"
921,"Elementary Administration Occupations"
922,"Elementary Personal Services Occupations"
923,"Elementary Cleaning Occupations"
924,"Elementary Security Occupations"
925,"Elementary Sales Occupations"
